Model,Training Rows,Accuracy,Precision,Recall,F1 Score,Train Time (sec),Test Time (sec)
Random Forest,100000,0.49602603138029405,0.49641045335447626,0.5495734584156243,0.5216409288399264,0.9355168342590332,1.8007543087005615
Logistic Regression,300000,0.4994959677419355,0.49951345447323997,0.5174662606978275,0.5083313965825612,0.9011831283569336,0.6763908863067627
