Feature,Coefficient,AbsCoefficient
"cat__Highest certificate, diploma or degree (16)_Bachelor's degree",0.012834319504241435,0.012834319504241435
cat__GEO_British Columbia,0.01234850444430324,0.01234850444430324
"cat__Highest certificate, diploma or degree (16)_College, CEGEP or other non-university certificate or diploma",0.01205803485314052,0.01205803485314052
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_19. Family and consumer sciences/human sciences,-0.011915187981656448,0.011915187981656448
cat__Age (15A)_25 to 54 years,-0.011895436994410355,0.011895436994410355
cat__Age (15A)_75 years and over,-0.011738096608983145,0.011738096608983145
cat__GEO_Northwest Territories,-0.011570455790624058,0.011570455790624058
cat__GEO_Manitoba,0.011210840607590963,0.011210840607590963
cat__Age (15A)_35 to 44 years,0.010466457781006636,0.010466457781006636
cat__GEO_Alberta,0.010332826850666178,0.010332826850666178
cat__GEO_Prince Edward Island,0.00980580866163275,0.00980580866163275
"cat__Highest certificate, diploma or degree (16)_Non-apprenticeship trades certificate or diploma",0.009757825701935932,0.009757825701935932
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_Education,0.009448408390665809,0.009448408390665809
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_30.16 Accounting and computer science,-0.009356498931432002,0.009356498931432002
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_61. Medical residency/fellowship programs,0.00917038059494113,0.00917038059494113
cat__GEO_Quebec,-0.009039741787426383,0.009039741787426383
cat__GEO_Canada,0.008287357995264451,0.008287357995264451
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_46. Construction trades,-0.008275052227716378,0.008275052227716378
cat__GEO_Nunavut,-0.008251778936288664,0.008251778936288664
"cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_Business, management and public administration",-0.008178845806797895,0.008178845806797895
cat__GEO_Nova Scotia,-0.00815752812946064,0.00815752812946064
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_15. Engineering/engineering-related technologies/technicians,0.007441927537718137,0.007441927537718137
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_39. Theology and religious vocations,0.007345231158340046,0.007345231158340046
"cat__Highest certificate, diploma or degree (16)_Apprenticeship certificate",0.0072601811150109835,0.0072601811150109835
"cat__Highest certificate, diploma or degree (16)_Earned doctorate",-0.007166162827839661,0.007166162827839661
"cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_Visual and performing arts, and communications technologies",0.007133780681223551,0.007133780681223551
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_Other,-0.0070345187881299676,0.0070345187881299676
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_54. History,0.006810579251539453,0.006810579251539453
"cat__Highest certificate, diploma or degree (16)_Postsecondary certificate or diploma below bachelor level",-0.006361593805597131,0.006361593805597131
cat__Age (15A)_30 to 34 years,-0.006289573745709867,0.006289573745709867
cat__Age (15A)_65 years and over,-0.005637009569514552,0.005637009569514552
cat__GEO_Ontario,0.00546492298709097,0.00546492298709097
cat__Age (15A)_20 to 24 years,0.004998367264884867,0.004998367264884867
"cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_Architecture, engineering, and related trades",-0.004697554914600569,0.004697554914600569
cat__GEO_New Brunswick,0.004631716805003578,0.004631716805003578
cat__Location of study (5)_Location of study inside Canada,0.004551910266611085,0.004551910266611085
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_51. Health professions and related programs,-0.00444847868933265,0.00444847868933265
"cat__Highest certificate, diploma or degree (16)_Master's degree",0.0043653262296670225,0.0043653262296670225
cat__GEO_Saskatchewan,-0.004130277839014957,0.004130277839014957
"cat__Highest certificate, diploma or degree (16)_Degree in medicine, dentistry, veterinary medicine or optometry",-0.004117863512310646,0.004117863512310646
"cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_28. Military science, leadership and operational art",0.003940923714874426,0.003940923714874426
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_42. Psychology,-0.0037779009887707,0.0037779009887707
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_30.12 Historic preservation and conservation,-0.0035853178488131775,0.0035853178488131775
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_45. Social sciences,0.003012528799592905,0.003012528799592905
cat__Age (15A)_65 to 74 years,0.0029935829876870756,0.0029935829876870756
cat__Location of study (5)_Location of study outside Canada,-0.002962433285854422,0.002962433285854422
cat__Age (15A)_55 to 64 years,0.002573656057694014,0.002573656057694014
"cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_24. Liberal arts and sciences, general studies and humanities",-0.002436062302171744,0.002436062302171744
"cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_31. Parks, recreation, leisure, fitness, and kinesiology",0.0021625767737548343,0.0021625767737548343
"cat__Highest certificate, diploma or degree (16)_University certificate or diploma above bachelor level",0.0019046560368470476,0.0019046560368470476
"cat__Location of study (5)_Postsecondary certificate, diploma or degree",-0.0018759521318594046,0.0018759521318594046
cat__Gender (3)_Men+,0.001759615964994664,0.001759615964994664
cat__Gender (3)_Women+,-0.0017205307194188427,0.0017205307194188427
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_48. Precision production,0.0012746767803716369,0.0012746767803716369
"cat__Highest certificate, diploma or degree (16)_Bachelor’s degree or higher",0.0012295625543739298,0.0012295625543739298
"cat__Highest certificate, diploma or degree (16)_No certificate, diploma or degree",0.0011892827031883804,0.0011892827031883804
cat__Age (15A)_15 to 24 years,-0.0011491161876821805,0.0011491161876821805
cat__GEO_Yukon,-0.0010019100586373601,0.0010019100586373601
"cat__Highest certificate, diploma or degree (16)_Apprenticeship or trades certificate or diploma",0.0006505522683407219,0.0006505522683407219
"cat__Location of study (5)_No postsecondary certificate, diploma or degree",0.0003255603966812689,0.0003255603966812689
num__REF_DATE,0.0,0.0
