Feature,Importance
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_19. Family and consumer sciences/human sciences,0.003500126728964554
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_30.01 Biological and physical sciences,0.003465850697557037
"cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_28. Military science, leadership and operational art",0.003445202992983711
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_03. Natural resources and conservation,0.003373945029016942
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_61. Medical residency/fellowship programs,0.0033676269559711936
"cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_05. Area, ethnic, cultural, gender, and group studies",0.003367211930002261
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_Social and behavioural sciences and law,0.0033516813469901515
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_23. English language and literature/letters,0.0033475806601053625
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_42. Psychology,0.003328795414143315
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_Health and related fields,0.0032914451605956835
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_14. Engineering,0.003249336979966257
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_41. Science technologies/technicians,0.003242029436323936
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_25. Library science,0.003233020367008831
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_48. Precision production,0.003217266975432669
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_46. Construction trades,0.003174815182936233
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_38. Philosophy and religious studies,0.0031314979034249646
"cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_24. Liberal arts and sciences, general studies and humanities",0.0030861428795600316
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_22. Legal professions and studies,0.0030465263592525126
"cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_Agriculture, natural resources and conservation",0.003023716896532311
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_30.12 Historic preservation and conservation,0.0029869680131843
"cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_09. Communication, journalism and related programs",0.0029311018538432263
"cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_Mathematics, computer and information sciences",0.00291571923836569
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_51. Health professions and related programs,0.002884442007617115
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_40. Physical sciences,0.0028608251112876965
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_13. Education,0.0027799124163668905
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_26. Biological and biomedical sciences,0.0027452501966805975
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_15. Engineering/engineering-related technologies/technicians,0.0026448264238869324
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_55. French language and literature/lettersCAN,0.0026029052633445102
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_Other,0.002589043654814608
"cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_12. Culinary, entertainment, and personal services",0.0025431207355682823
"cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_Personal, protective and transportation services",0.00238114895498817
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_60. Health professions residency/fellowship programs,0.0023034108471352236
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_04. Architecture and related services,0.0018734594389501439
cat__Major field of study - Classification of Instructional Programs (CIP) 2021 (63)_45. Social sciences,0.0016996097745512473
num__REF_DATE,0.0
